,Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,North Node,True Node,Chiron,Ascendant,MC,Descendant,IC,Lilith,Ceres,Pallas,Juno,Vesta
38,1989-01-10 18:00:00,Capricorn,Aquarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Sagittarius
39,1989-01-10 23:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
40,1989-01-11 06:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Sagittarius
41,1989-01-11 12:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
42,1989-01-11 18:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Sagittarius
43,1989-01-11 23:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
44,1989-01-12 06:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Sagittarius
45,1989-01-12 12:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
46,1989-01-12 18:00:00,Capricorn,Pisces,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Sagittarius
47,1989-01-12 23:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
48,1989-01-13 06:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Sagittarius
49,1989-01-13 12:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
50,1989-01-13 18:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Pisces,Aquarius,Virgo,Sagittarius
51,1989-01-13 23:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Sagittarius
52,1989-01-14 06:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Scorpio,Gemini,Taurus,Virgo,Pisces,Aquarius,Virgo,Sagittarius
53,1989-01-14 12:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Sagittarius
54,1989-01-14 18:00:00,Capricorn,Aries,Aquarius,Capricorn,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Pisces,Aquarius,Virgo,Sagittarius
